10.1103/PhysRevA.19.923 z4k1
10.1103/PhysRevLett.62.232 l6y2
10.1103/PhysRevLett.62.232 j3v2
10.1103/PhysRevD.14.1168 z4k1
10.1103/PhysRevLett.43.1929 q6f3
10.1103/PhysRevLett.43.1929 w3b1
10.1103/PhysRevB.56.3532 e6y2
10.1103/PhysRevB.56.3532 l3n1
10.1103/PhysRevB.56.3532 d6v1
10.1103/PhysRevB.56.3532 s2o1
10.1103/PhysRevB.59.2968 w2p3
10.1103/PhysRevB.59.2968 l5o1
10.1103/PhysRevB.59.2968 q5e2
10.1103/PhysRevB.64.155409 e5l3
10.1103/PhysRevB.64.155409 k4s2
10.1103/PhysRevB.64.155409 m2o1
10.1103/PhysRevD.51.5954 p6w1
10.1103/PhysRevD.51.5954 e5f3
10.1103/PhysRevB.64.155407 g1x1
10.1103/PhysRevB.64.155407 u5e2
10.1103/PhysRevB.56.2228 b1p3
10.1103/PhysRevB.56.2228 c2o2
10.1103/PhysRevB.56.2228 g4h2
10.1103/PhysRevD.24.3044 d6y1
10.1103/PhysRevD.24.3044 u3x3
10.1103/PhysRevD.24.3044 f1o3
10.1103/PhysRevB.18.3444 b2y1
10.1103/PhysRevLett.90.197007 x2s1
10.1103/PhysRevA.62.032709 r6b1
10.1103/PhysRevA.62.032709 o1w1
10.1103/PhysRevD.34.2133 s2g1
10.1103/PhysRevD.34.2133 k5v1
10.1103/PhysRevD.34.2133 r2e3
10.1103/PhysRevD.34.2133 a2z2
10.1103/PhysRevD.34.2133 e6h2
10.1103/PhysRevB.38.10926 u2b3
10.1103/PhysRevB.38.10926 v6p1
10.1103/PhysRevA.12.219 e1e1
10.1103/PhysRevA.12.219 n1s3
10.1103/PhysRevA.12.219 r2r1
10.1103/PhysRevB.18.5427 w2p2
10.1103/PhysRevB.18.5427 r2x3
10.1103/PhysRevB.18.5427 v2b1
10.1103/PhysRevLett.81.38 y1s3
10.1103/PhysRevLett.81.38 s2s2
10.1103/PhysRevLett.81.38 t2w1
10.1103/PhysRevLett.81.38 x3a2
10.1103/PhysRevLett.81.38 c2a2
10.1103/PhysRevLett.81.38 q2d1
10.1103/PhysRevLett.81.38 n5h3
